Designator,Footprint,Quantity,Value,LCSC Part #
12VLED1,0402,1,RED_LED,
3V3LED1,0402,1,BLUE_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C16, C20, C24, C26",0402,5,10uF,
"C10, C11, C27, C3, C5, C6, C8",0402,7,0.1uF,
"C12, R5",0402,2,DNP,
"C13, C14",0402,2,11pF,
"C15, C36, C37",0402,3,100nF,
C17,0402,1,47nF,
"C18, C19, C28, C29, C30",0402,5,0.1u,
"C2, C22, C4, C7",0402,4,1uF,
C21,0603,1,10uF,
C23,0603,1,22uF,
C25,0402,1,4.7uF,
"C31, C32, C33, C34, C35",0402,5,1n,
C9,0402,1,10nF,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
J1,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,RBUS,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TermJP,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
"R1, R14, R17, R18, R3",0402,5,10K,
"R10, R9",0603,2,60,
"R11, R12, R13",0402,3,5.1k,
R15,0402,1,14k,
R16,0402,1,56k,
"R2, R4",0402,2,470,
R6,0402,1,499,
R7,0402,1,3k,
R8,0603,1,0,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,21,TestPoint,
TXLED1,0402,1,GREEN_LED,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
"U10, U6, U7, U8, U9",XDCR_MPRLS0025PA00001A,5,MPRLS0025PA00001A,
U11,XDCR_DPS310,1,DPS310,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC127P599X175-9N,1,SC4215,
USBLED1,0402,1,WHITE_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHzÂ±10ppm,
